HASH CODE: Harp Knife Bow Claw Axe 
CAREER DAY SPOILER LOG
-----STARTING JOB, WEAPON, MAGIC-----
Starting job:     Trainer Job Crystal
Starting weapon:  Whip
Starting spell:   None
Starting ability: Tame
-----***************************-----

-----COLLECTIBLE COUNTS BY TYPE-----
Magic:      203         
Ability:    145         
Item:       254         
Crystal:    32          
Key Item:   21          

-----BOSS CHECKS------
Abductor                                Hiryuu Call                             
AdamanTiMi                              Phenix                                  
Antlion                                 Tame                                    
ArchaeAvis                              L5 Doom                                 
Atmos                                   Doom                                    
Bahamut                                 Drain                                   
Byblos                                  Venom                                   
Carbunkle                               L4 Qrter                                
Chim.Brain                              Power Staff                             
Crayclaw                                Falls Page                              
Galura                                  Bracelet                                
Gilgamesh 1                             Moogle Suit                             
Gilgamesh 2                             Anti Barrier                            
Gilgamesh 3 & Enkidou                   Trench Page                             
Gilgamesh 4                             Remora                                  
GoGo                                    Adamantite                              
Guardians                               3rd Tablet                              
HiryuuPlant                             Ifrit's Fire                            
Ifrit                                   Submarine Key                           
Karlabos                                1st Tablet                              
Leviathan                               Shrine Page                             
LiquiFlame                              Pyramid Page                            
Magisa & Forza                          Analyze                                 
Merugene                                2nd Tablet                              
Minotauros                              L2 Old                                  
Odin                                    Condemn                                 
Omniscient                              Mirage Radar                            
Puroboros                               Heavy Spear                             
Sandworm                                Elder Branch                            
Sergeant & DeathClaw                    Walse Tower Key                         
Shiva                                   Blue                                    
Siren                                   Equip Armors                            
Sol Cannon                              4th Tablet                              
Stalker                                 Pray                                    
Titan                                   Big Bridge Key                          
Triton, Neregeid & Phobos               Sandworm Bait                           
Tyrasaurus                              Steamship Key                           
WingRaptor                              Bone Mail                               
-----*********-----


-----CHESTS AND EVENTS (T = Tier)-----
T4 Wind Crystal Knight                            T3 Dispel (White)                                 
T4 Wind Crystal BlueMage                          T7 Meteo (Time)                                   
T4 Wind Crystal BlackMage                         T4 Equip Swords (Ability)                         
T4 Wind Crystal WhiteMage                         T2 Summon Lv.1 (Ability)                          
T4 Wind Crystal Monk                              T4 DrkShock (Blue)                                
T4 Wind Crystal Thief                             T7 Odin (Esper)                                   
T4 Fire Crystal Trainer                           T1 Venom (Sword)                                  
T4 Fire Crystal Geomancer                         T5 Lumina Robe                                    
T4 Fire Crystal Ninja                             T2 Hide (Ability)                                 
T3 Black Choco Crystals Bard                      T1 Bolt (Sword)                                   
T3 Black Choco Crystals Hunter                    T2 Psych (Black)                                  
T4 Earth Crystal Samurai                          T8 Time Lv.6 (Ability)                            
T4 Earth Crystal Dragoon                          T5 Ribbon                                         
T4 Earth Crystal Chemist                          T1 Cursed Ring                                    
T4 Earth Crystal Dancer                           T1 Preemptive (Ability)                           
T4 Leviathan Esper Levia                          T1 Haste (Time)                                   
T4 Titan Titan                                    T1 Smoke (Ability)                                
T6 Carbuncle Crbnkl                               T1 HP +30% (Ability)                              
T6 Syldra Syldra                                  T4 Bolt3 (Sword)                                  
T7 Odin Odin                                      T3 White Lv.3 (Ability)                           
T8 Phoenix Phenix                                 T1 Geomancer Job Crystal (Crystal)                
T8 Bahamut Bahmut                                 T1 MgcSwrd Lv.1 (Ability)                         
T2 Life Song Vitality                             T3 Equip Spears (Ability)                         
T2 Temptation Song at Lix Charm                   T4 Rune Chime                                     
T3 Love Song at Istory Love                       T1 Demi (Time)                                    
T3 Requiem Song at Kelb Requiem                   T7 Guard Ring                                     
T4 Speed Song at Surgate Speed                    T2 Black Lv.2 (Ability)                           
T4 Magic Song at Ancient Library Magic            T3 Dancer Job Crystal (Crystal)                   
T2 Power Song from Crescent Town Power            T2 Cure2 (White)                                  
T4 Hero Song from Crescent Town Hero              T1 Antdt (White)                                  
T8 Fork Tower, two Magics Holy                    T3 Black Lv.3 (Ability)                           
T8 Fork Tower, two Magics Flare                   T3 Old (Time)                                     
T8 Meteo Meteo                                    T5 Holy (Sword)                                   
T2 5 potions (from NPC) Potion                    T1 Flame Scroll                                   
T2 8 potions (from NPC) Potion                    T4 Qrter (Time)                                   
T2 Chancellor at Tycoon Healing Staff             T1 ???? (Blue)                                    
T2 Magisa & Forza Mythril Helm                    T7 Bahmut (Esper)                                 
T8 CornaJar at Kelb CornaJar                      T5 Hast2 (Time)                                   
T4 Ribbon from girl in Rugor Ribbon               T4 Equip Rods (Ability)                           
T7 12 Kuzar Events Assassin                       T2 GuardOff (Blue)                                
T7 12 Kuzar Events Apollo's Harp                  T6 Chemist Job Crystal (Crystal)                  
T7 12 Kuzar Events Excalibur                      T8 X-Magic (Ability)                              
T7 12 Kuzar Events Flame Whip                     T1 Kick (Ability)                                 
T7 12 Kuzar Events Earth Bell                     T1 HP +20% (Ability)                              
T7 12 Kuzar Events Holy Lance                     T2 Ramuh (Esper)                                  
T7 12 Kuzar Events Masamune                       T3 Bio (Sword)                                    
T7 12 Kuzar Events Wizard Rod                     T1 Staff                                          
T7 12 Kuzar Events Rune Axe                       T2 Revive (Ability)                               
T7 12 Kuzar Events Sage's Staff                   T2 Thunder Whip                                   
T7 12 Kuzar Events Hardened Dagger                T1 Requiem (Song)                                 
T7 12 Kuzar Events Yoichi Bow                     T3 Mythril Armor                                  
T4 Shiva Shiva                                    T1 HP +10% (Ability)                              
T4 Ifrit Ifrit                                    T1 Animals (Ability)                              
T4 Water Crystal Samurai                          T7 Flare (Black)                                  
T4 Water Crystal Berserker                        T2 Stop (Time)                                    
T4 Water Crystal MysticKnight                     T3 Time Lv.3 (Ability)                            
T4 Water Crystal TimeMage                         T3 MgcSwrd Lv.3 (Ability)                         
T4 Water Crystal Summoner                         T1 MoonFlut (Blue)                                
T7 Brave Blade Brave Blade                        T1 Potion                                         
T7 Chicken Knife Chicken Knife                    T5 MindBlst (Blue)                                
T2 Tycoon Castle Cabin Cabin                      T6 Black Lv.5 (Ability)                           
T2 Tycoon Castle Cabin Cabin                      T1 Chocob (Esper)                                 
T2 Walse Tower Chest GoGo                         T2 Exploder (Blue)                                
T2 Pyramid Top Pyramid Tablet                     T1 MP +10% (Ability)                              
T3 Toad Event Toad                                T3 Equip Whips (Ability)                          
T4 Aegis Shield Chest Aegis Shield                T1 Caution (Ability)                              
T2 Lone Wolf Barrel Cabin                         T2 Bolt2 (Sword)                                  
T4 Lone Wolf Chest Thunder Whip                   T7 BigGuard (Blue)                                
